#	Fracture
2HPP	2 Hour PostPrandial
CARE	Continuity Assessment Record and Evaluation
CARF	Commission on Accreditation of Rehabilitation Facilities
CARS	Coherent Anti-Stokes Raman Spectroscopy
CASA	Computer Assisted Sperm Analysis
CASAT	Comprehensive Alcohol and Substance Abuse Treatment
CASE	Continuing Adult Surgical Education
CAT	Computed Axial Tomography
CAT	Change Agent Team
CAT	Cardiac arrest team
CATC	Clean Air Technology Center
CATH	Catheter
CATIE	Clinical Antipsychotic Trials in Intervention Effectiveness
CATS	Children’s Acute Transport Service
CATT	Clinical Assessment, Tracking, and Triage
CAVHD	Continuous Arterio-Venous Hemo-Dialysis
CAVHDF	Continuous ArterioVenous HemoDiaFiltration
CAVHF	Continuous ArterioVenous HemoFiltration
CBA	Constricted Breathing Appliance
CBA	Competence-Based Assessment
CBDI	Community Based Drug Initiative
CBE	ChildBirth Educator
CBI	Caused Bodily Injury
cboc	Community Based Outpatient Clinic
CBOPC	Community Based Outpatient Care
CBP	Community Bonus Pack
CBR	Community-Based Rehabilitation
CBT	Cognitive-Behavioral Therapy
CBT	Code Blue Team
CBT	Cord Blood Transplant
CBVH	Casco Bay Veterinary Hospital
CC	Carson City
CC	Convalescent Corps
CC	Closed Caption
CC	Chief Complaint
CCA	Chibi Cheetah Angels
CCA	Corrected Calcium
CCAC	Community Care Access Centre
CCAC	Continuing Care Accreditation Commission
CCAD	Cleveland Clinic Abu Dhabi
CCAH	Compassionate Care Animal Hospital
CCAH	Country Companion Animal Hospital
CCAM	Classification Commune des Actes Medicaux
CCATT	Critical Care Air Transport Team
CCC	Certificate of Clinical Competency
CCC	Complex Continuing Care
CCCH	Chase County Community Hospital
CCD	Continuity of Care Document
CCD	Considerable conduct disorder
CCE	Clinical Care Extender
CCH	Cape Cod Hospital
CCH	Charing Cross Hospital
CCH	Chelsea Community Hospital
CCH	Cook County Hospital
CCHA	Canadian Council on Hospital Accreditation
CCHC	Cleveland Clinic Heart Center
CCHDS	Central Committee for Hospital Dental Services
CCHF	Crimean-Congo haemorrhagic fever
CCHM	Core Competencies in Hospital Medicine
CCHMC	Cincinnati Children's Hospital Medical Center
CCHMS	Central Committee for Hospital Medical Services
CCHS	Childrens Care Hospital And School
CCHS	Congenital central hypoventilation syndrome
CCI	Cardiovascular Credentialing International
CCI	Canadian Classification Index
CCM	Comprehensive Care Management
CCM	Critical Care Medicine
CCM	Cerebral cavernous malformation
CCMH	Campbell County Memorial Hospital
CCMH	Carroll County Memorial Hospital
CCMH	CHOC Children's at Mission Hospital
CCMH	Crawford County Memorial Hospital
CCMH	Comanche County Memorial Hospital
CCMH	Coshocton County Memorial Hospital
CCMH	Cedar County Memorial Hospital
CCN	Carrier Comfort Network
CCN	Corporate Care Network
CCN	Cleveland Clinic Nursing
CCOM	Centura Centers for Occupational Medicine
CCR	Continuity of Care Record
CCRN	Critical Care Registered Nurse
CCSO	Critical Care Services Ontario
CCT	Computerized Classification Test
CCTH	Cape Coast Teaching Hospital
CCTP	Community-Based Care Transitions Program
CCU	Comfort Care Unit
CCU	Cardio Care Unit
CCU	Comprehensive Care Unit
CCU	Coronary Care Unit
CCVC	Community Care Victoria County
CCVH	Creature Comforts Veterinary Hospital
CCVH	Center City Veterinary Hospital
CCVH	Corona Community Veterinary Hospital
CCVH	Cottonwood Creek Veterinary Hospital
CCVH	Cleveland Community Veterinary Hospital
CDAD	C-difficile-associated diarrhea
CDC	Centers for Disease Control and Prevention
CDCU	Cardiac Diagnostic Care Unit
CDCU	Communicable Disease Control Unit
CDEPP	Community Diabetes Education and Prevention Program
CDER	Center for Drug Evaluation and Research
CDG	Congenital disorder of glycosylation
CDH	Central DuPage Hospital
CDHG	Calgary District Hospital Group
CDI	Clostridium difficile infection
CDIU	Cardiac Diagnostic and Interventional Unit
CDMH	Caerphilly & District Miners Hospital
CDMP	Clinical Data Management Plan
CDPC	Capital District Psychiatric Center
CDR	Clinical Dementia Rating
CDRC	Clinically Driven Revenue Cycle
CDRC	Child Development and Rehabilitation Center
CDS	Color Doppler Sonography
CDS	Clinical Decision Support
CDSS	Clinical Decision Support System
CDT	Continuing Day Treatment provider
CDT	Clinical Documentation Tool
CDU	Connectix Desktop Utilities
CDU	Communicable Diseases Unit
CDU	Clinical Decision Unit
CEC	Comprehensive ESRD (End-Stage Renal Disease) Care
CEC	Community Engagement Committee
CEL	Chronic eosinophilic leukemia
CEOP	Covenant External Orientation Program
CEP	California Encephalitis Project
CEP	Congenital erythropoietic porphyria
CES	Cranial Electrical Stimulation
CESD	Cholesteryl ester storage disease
CF	Cardiac Fibrillation
CF	ChloroForm
CF	Christmas Factor
CF	Circulatory Failure
CF	Cystic fibrosis
CFIDS	Chronic fatigue immune dysfunction syndrome
CFM	Cerebral Function Monitor
CFMG	Children First Medical Group
CFY	Clinical Fellowship Year
CGAH	Comparative Guide to American Hospitals
CGAT	Center For Genomic Applications And Therapeutics
CGH	Changi General Hospital
CGH	Cantonment General Hospital
CGHC	Chinese General Hospital Colleges
CGI	Clinical Global Impression
CGIN	Cervical Glandular Intraepithelial Neoplasia
CGM	Continuous Glucose Monitoring
CGMS	Continuous Glucose Monitoring System
CGS	Clinical Guidelines Subcommittee
CHA	Colorado Hospital Association
CHA	Christ Hospital Association
CHAD	Childrens Hospital At Dartmouth
CHAD	Children's Hospital at Dartmouth
CHADS	Congestive heart failure, Hypertension, Age, Diabetes, prior Stroke
CHAM	Children's Hospital at Montefiore
CHAMPS	Cardiovascular Health Assessment Management And Prevention Services
CHAMPUS	Civilian Health And Medical Program of the Uniformed Services
CHANT	Community Hospitals Acting Nationally Together
CHAP	Community Health Accreditation Program
CHAP	Children's Healing Art Project
CHARGE	Coloboma of the eye, heart defects, Atresia of the nasal choanae, Retarded growth &#38; or development, Genital abnormalities, Ear abnormalities
CHARGE	Coloboma of the eye & central nervous system anomalies, Heart defects, Atresia of the choanae, Retardation of growth and/or development, Genital and/or urinary defects
CHASM	Collaborating Hospitals Audit of Surgical Mortality
CHB	Children's Hospital Boston
CHB	Centre Hospitalier de Bhannès
CHB	Chronic Hepatitis B
CHC	Consumer HealthCare
CHC	Community Hospital Corporation
CHCR	Clinical Hospital Center Rijeka
CHD	Coronary Heart Disease
CHD	Could Have Died
CHDM	Comprehensive Hospital Drug Monitoring
CHEC	Certified Hospital Emergency Coordinator
CHEERS	Caring Hospital Employees Envision Real Success
CHEO	Children's Hospital of Eastern Ontario
CHESS	Comprehensive Health Enhancement Support System
CHF	Congestive Heart Failure
CHFA	Cascade Hospital For Animals
CHFM	Certified Hospital Facilities Manager
CHFU	Cancer Hospital Fudan University
CHG	Castellucci Hospitality Group
CHGH	Cheng Hsin General Hospital
CHH	Cabell Huntington Hospital
CHH	Charlotte Hungerford Hospital
CHH	Chong Hua Hospital
CHHD	Community Health and Hospital Division
CHI	Child Helpline International
CHICA	Community and Hospital Infection Control Association
CHICO	Computer Hospital Intensive Care Operator
CHIEF	Craig Hospital Inventory of Environmental Factors
CHIP	Children's Health Insurance Program
CHIP	Community Health Improvement Process
CHIP	Client History and Information Profile
CHIP	Childrens Hospital Informatics Program
CHIP	Children's Hospital Informatics Program
CHIP	Community Hospital Implementation Program
CHIPP	Community Hospital Integration Projects Program
CHIPP	Community Hospital Integration Project Program
CHIPS	Culinary Hospitality Industry Publications Service
CHK	Civil Hospital Karachi
CHKD	Children's Hospital of the King's Daughters
CHL	Crown-Heel Length
CHLC	Centro Hospitalar de Lisboa Central
CHLG	Community Hospital of Los Gatos
CHMC	Children's Hospital Medical Center
CHMC	Childrens Hospital Medical Center
CHMC	California Hospital Medical Center
CHMS	Chronic Health Management System
CHMS	Child Health Management Services
CHN	Community Health Nursing
CHOBA	Christ's Hospital Old Blues' Association
CHOC	Children's Hospital of Orange County
CHOC	Childrens Hospital of Orange County
CHOC	Children Hospital of Orange County
CHOMP	Community Hospital of the Monterey Peninsula
CHOP	Children's Hospital Of Philadelphia
CHOP	Childrens Hospital of Philadelphia
CHORI	Children's Hospital Oakland Research Institute
CHP	Community Health Partnership
CHP	Children's Hospital of Pittsburgh
CHP	Childrens Hospital of Pittsburgh
CHPA	Community Health Purchasing Alliance
CHPC	Chiropractic Health Plan Of California
CHPCA	Canadian Hospice Palliative Care Association
CHR	Centre Hospitalier Regional
CHR	Calgary Health Region
CHR	Center for Hospitality Research
CHRC	Community Health Resource Center
CHRE	Council for Health Regulatory Excellence
CHRIS	Central Health Register Inquiry System
CHRS	Cornell Hospitality Research Summit
CHRU	Centre Hospitalier Régional Universitaire
CHRU	Children's Hospital Rehabilitation Unit
CHS	Current Health Status
CHS	Community Health Systems
CHSB	Community Hospital of San Bernardino
CHSS	Central Hospital Supply Services
CHSSH	Covenant Harrison Select Specialty Hospital
CHT	Certified Hospitality Trainer
CHU	Centre Hospitalier Universitaire
CHUM	Centre Hospitalier de l’Université de Montréal
CHUM	Central Hospital University of Montreal
CHUMS	Collaborative Health Unified Messaging System
CHV	Centre Hospitalier de Valenciennes
CHV	Centro Hospitalar Veterinário
CHV	Consorci Hospitalari de Vic
CHW	Children's Hospital of Washington (DC)
CHW	Catholic Healthcare West
CHW	Children's Hospital of Wisconsin
CHWC	Community Hospitals and Wellness Centers
CIAO	Clinical Information Access Online
CIC	Crisis Intervention Clinic
CIC	Critical Illness Cash
CIC	Clean Intermittent Catheterization
CIC	Certification in Infection Control
CIC	Care Improvement Council
CIC	Current Illness Checklist
CID	Chemotherapy-Induced Diarrhea
CID	Community Index Database
CID	Card IDentification number
CIDP	Chronic inflammatory demyelinating polyneuropathy
CIDR	Computerised Infectious Disease Reporting
CIM	Capital Investment Manual
CIMA	Centro Internacional de Medicina Avanzada
CIMH	Community Integrated Medical Home
CIMS	Current Index of Medical Specialities
CIN	Child In Need
CIO	Chief Information Officer
CIO	Congress of Industrial Organizations
CIPA	Congenital insensitivity to pain with anhidrosis
CIR	Committee of Interns and Residents
CIS	Care Information System
CIS	Catheter-Induced Spasm
CIS	Central Issue System
CIS	Coronary Intervention Study
CISA	Clinical Immunization Safety Assessment
CISO	Clinical Investigations Support Office
CiSP	Cyber Security Information Sharing Partnership
CIT	Crisis Intervention Team
CITIS	Computed Industrial Tomographic Imaging System
CJD	Creutzfeldt–Jakob disease
CJTS	Centrul Judetean de Transfuzie Sanguina
CK	Centesimal Korsakovian
CKD-EPI	Chronic Kidney Disease - Improved Prediction Equations
CL LIQ	Clear Liquids
CLAS	Center for Learning Arthroscopic Skills
CLASP	Cholesterol Lowering Agent to Slow Progression
CLDS	Community Learning Disability Service
CLE	Complete Local Excision
CLI	Common Language Infrastructure
CLIP	Children's Longterm Inpatient Program
CLMR	Clinical Leadership and Management Review
CM	Clinical Modification
CM	Cervical Mucus
CM	Care Management
CMAH	Coal Mountain Animal Hospital
CMAS	Center for Minimal Access Surgery
CMC	Cornell Medical Center
CMC	Childrens Medical Center
CMC	Carolinas Medical Center
CMC	Coordinate My Care
CMCH	Christian Medical College & Hospital
CMCH	Cameron Memorial Community Hospital
CMCH	Chittagong Medical College and Hospital
CMCH	Coimbatore Medical College Hospital
CMED	Centralized Medical Emergency Direction
CMFT	Central Manchester University Hospitals
CMG	Cetyl Myristoleate, MSM, Glucosamine
CMG	Clinical Management Group
CMG	CystoMetroGraphy
CMG	Clinical Management Guidelines
CMH	Citizen's Memorial Hospital
CMH	Citizens Memorial Hospital
CMH	Community Memorial Hospital
CMH	Clinton Memorial Hospital
CMH	Children's Mercy Hospital
CMH	Chinese medicine hospital
CMH	Columbia Memorial Hospital
CMHC	Community Mental Health Center
CMI	Consumer Medicine Information
CMI	Consumer Medication Information
CMI	Case Mix Index
CMI	Chronic multisymptom illness
CMI	Case-Mix Index
CMICR	Centre for Mother, Infant, & Child Research
CMIP	Comprehensive Medicaid Integrity Plan
CMIPS	Case Management Information and Payroll System
CML	Clinical Management Level
CML	Chronic myelogenous leukemia
CMNH	Children's Miracle Network Hospitals
CMO	Chief Medical Officer
CMO	Case Management Organization
CMP	Container Managed Persistence
CMPA	Cow's Milk Protein Allergy
CMPPA	Computer Matching and Privacy Protection Act of 1988
CMRB	Centre de Medicina Regenerativa de Barcelona
CMRI	Children's Medical Research Institute
CMRR	Closed Medical Record Review
CMS	Center for Medical Services
CMSR	Certified Medical Staff Recruiter
CMT	Corneal Molding Therapy
CMT	Chiropractic Manipulative Therapy
CMV	Contract Monitoring Visit
CNA	Certified Nursing Assistant
CNA	Certified Nurse Aid
CNA	Certified Nurse Anesthetist
CNC	Certified Nutritional Consultant
CND	Cider N Drugs
CNISP	Canadian Nosocomial Infection Surveillance Program
CNM	Clinical Nutritional Management
CNMC	Childrens National Medical Center
CNMD	Centre for Neuromuscular Diseases
CNS	Central Nervous System
CNS	Community Nursing Service
CNS	Clinical Nurse Specialist
CNSC	Certified Nutrition Support Clinician
CNSD	Certified Nutrition Support Dietitian
CNYPC	Central New York Psychiatric Center
CO	Complains Of
COA	Condition On Admission
COAF	Comprehensive Options Assessment Form
COB	Coordination Of Benefits
COCH	Countess of Chester Hospital
COCH	Council Of Christian Hospitals
COE	Care Of the Elderly
COFS	Cerebro-oculo-facio-skeletal syndrome
COHC	Central Ohio Hospital Council
COLD	Chronic obstructive lung disease
COM	Cardiac Output Monitor
COMA	Children Of Mental Awareness
COMFORT	Caring Observant Mindful Friendly Obliging Responsible Tactful
COMP	Comprehensive Obesity Management Program
COMPAS	Colorado Occupational Medicine Provider Affiliate System
COMPASS	Compassionate Or Mentoring Physicians Applying Special Skills
COPD	Chronic Obstructive Pulmonary Disease
COPP	Certificate Of Pharmaceutical Products
CORF	Comprehensive Outpatient Rehabilitation Facility
COSTAR	COmputer-STored Ambulatory Record
COT	College of Occupational Therapy
COTH	Council Of Teaching Hospitals
COTS	Central Ohio Trauma System, Columbus, Ohio
CP	Cerebral Palsy
CP	Cyclophosphamide
CPA	Constraints Prioritize Aid
CPA	Caring, Practical, and Affordable
CPAF	Clinical Pharmacology Analytical Facility
CPAH	Colony Park Animal Hospital
CPAH	Clinton Parkway Animal Hospital
CPB	Cancer Prevention Building
CPB	Cardio-Pulmonary Bypass
CPC	Complete Primary Care
CPC	clinical-Pathological Conference
CPC	Cerebral Palsy Clinic
CPC	Chest Pain Center
CPC	Clinical Pathology Conference
CPCS	Certified Provider Credentialing Specialist
CPD	Centralized Physician Database
CPDD	Calcium pyrophosphate deposition disease
CPE	Certified Physician Executive
CPEP	Coronary Prevention Evaluation Program
CPG	Clinical Practice Guidelines
CPH	Canton Potsdam Hospital
CPHA	Commission on Professional and Hospital Activites
CPHA	Commission on Professional and Hospital Activities
CPHM	Certificate Program in Hospital Management
CPI	Clinical Practice Improvement
CPIL	Core Patient Information Leaflet
CPM	Central pontine myelinolysis
CPMC	Columbia Presbyterian Medical Center
CPMC	California Pacific Medical Center
CPNP	Certified Pediatric Nurse Practitioner
CPO	Chest Pain Observation
CPOE	Computerized Physician Order Entry
CPOE	Computerized Provider Order Entry
CPOG	Center of Pereinatology, Obstetrics, and Gynecology
CPOL	Care Plan On-Line
CPOM	Computerized Physician Order Management
CPOM	Computerized Patient Order Management
CPOQ	Center for Pediatric Outcomes and Quality
CPOU	Chest Pain Observation Unit
CPP	Cerebral perfusion pressure
CPPC	Comprehensive Primary and Preventive Care
CPPL	Closed Postoperative Peritoneal Lavage
CPQ	Center for Healthcare Planning & Quality
CPR	Cardio-Pulmonary Resuscitation
CPRD	Clinical Practice Research Datalink
CPRP	Chronic Pain Rehabilitation Program
CPRS	Computerized Patient Record System
CPS	Compendium of Pharmaceuticals and Specialties
CPS	Common Practice Statement
CPS	Clinical Preventive Services
CPS	CardioPlegic Solution
CPS	Cognitive Performance Scale
CPS	Complex Partial Seizure
CPS	Cumulative Pain Score
